path,issue
bosses/finalboss/abyss/boss_abyssoverlord_attack.png,dimension_mismatch:256x1024!=256x256
bosses/finalboss/abyss/boss_abyssoverlord_attack.png,alpha_opaque
bosses/finalboss/abyss/boss_abyssoverlord_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/abyss/boss_abyssoverlord_attack.png,size_over_2x_budget:187.2>64.0
bosses/finalboss/abyss/boss_abyssoverlord_death.png,missing_png
bosses/finalboss/abyss/boss_abyssoverlord_idle.png,dimension_mismatch:256x1024!=256x256
bosses/finalboss/abyss/boss_abyssoverlord_idle.png,alpha_opaque
bosses/finalboss/abyss/boss_abyssoverlord_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/abyss/boss_abyssoverlord_idle.png,size_over_2x_budget:214.4>64.0
bosses/finalboss/abyss/boss_abyssoverlord_phasechange.png,missing_png
bosses/finalboss/abyss/boss_abyssoverlord_skill.png,dimension_mismatch:256x1536!=256x256
bosses/finalboss/abyss/boss_abyssoverlord_skill.png,alpha_opaque
bosses/finalboss/abyss/boss_abyssoverlord_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/abyss/boss_abyssoverlord_skill.png,size_over_2x_budget:192.14>64.0
bosses/finalboss/boss_abyssoverlord_attack.png,alpha_opaque
bosses/finalboss/boss_abyssoverlord_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_abyssoverlord_death.png,missing_png
bosses/finalboss/boss_abyssoverlord_idle.png,alpha_opaque
bosses/finalboss/boss_abyssoverlord_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_abyssoverlord_phasechange.png,missing_png
bosses/finalboss/boss_abyssoverlord_skill.png,alpha_opaque
bosses/finalboss/boss_abyssoverlord_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_beast_swamp_attack.png,alpha_opaque
bosses/finalboss/boss_beast_swamp_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_beast_swamp_attack.png,size_over_2x_budget:69.42>64.0
bosses/finalboss/boss_beast_swamp_death.png,missing_png
bosses/finalboss/boss_beast_swamp_idle.png,alpha_opaque
bosses/finalboss/boss_beast_swamp_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_beast_swamp_idle.png,size_over_2x_budget:64.01>64.0
bosses/finalboss/boss_beast_swamp_phasechange.png,missing_png
bosses/finalboss/boss_beast_swamp_skill.png,alpha_opaque
bosses/finalboss/boss_beast_swamp_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_beast_swamp_skill.png,size_over_2x_budget:64.53>64.0
bosses/finalboss/boss_firelord_attack.png,alpha_opaque
bosses/finalboss/boss_firelord_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_firelord_death.png,missing_png
bosses/finalboss/boss_firelord_idle.png,alpha_opaque
bosses/finalboss/boss_firelord_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_firelord_idle.png,size_over_2x_budget:68.99>64.0
bosses/finalboss/boss_firelord_phasechange.png,missing_png
bosses/finalboss/boss_firelord_skill.png,alpha_opaque
bosses/finalboss/boss_firelord_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_forestguardian_attack.png,alpha_opaque
bosses/finalboss/boss_forestguardian_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_forestguardian_death.png,missing_png
bosses/finalboss/boss_forestguardian_idle.png,alpha_opaque
bosses/finalboss/boss_forestguardian_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_forestguardian_phasechange.png,missing_png
bosses/finalboss/boss_forestguardian_skill.png,alpha_opaque
bosses/finalboss/boss_forestguardian_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_frostqueen_attack.png,alpha_opaque
bosses/finalboss/boss_frostqueen_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_frostqueen_death.png,missing_png
bosses/finalboss/boss_frostqueen_idle.png,alpha_opaque
bosses/finalboss/boss_frostqueen_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_frostqueen_phasechange.png,missing_png
bosses/finalboss/boss_frostqueen_skill.png,alpha_opaque
bosses/finalboss/boss_frostqueen_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_guardian_forest_attack.png,alpha_opaque
bosses/finalboss/boss_guardian_forest_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_guardian_forest_death.png,missing_png
bosses/finalboss/boss_guardian_forest_idle.png,alpha_opaque
bosses/finalboss/boss_guardian_forest_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_guardian_forest_phasechange.png,missing_png
bosses/finalboss/boss_guardian_forest_skill.png,alpha_opaque
bosses/finalboss/boss_guardian_forest_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_abyss_attack.png,alpha_opaque
bosses/finalboss/boss_lord_abyss_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_abyss_death.png,missing_png
bosses/finalboss/boss_lord_abyss_idle.png,alpha_opaque
bosses/finalboss/boss_lord_abyss_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_abyss_phasechange.png,missing_png
bosses/finalboss/boss_lord_abyss_skill.png,alpha_opaque
bosses/finalboss/boss_lord_abyss_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_catacombs_attack.png,alpha_opaque
bosses/finalboss/boss_lord_catacombs_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_catacombs_death.png,missing_png
bosses/finalboss/boss_lord_catacombs_idle.png,alpha_opaque
bosses/finalboss/boss_lord_catacombs_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_catacombs_idle.png,size_over_2x_budget:66.01>64.0
bosses/finalboss/boss_lord_catacombs_phasechange.png,missing_png
bosses/finalboss/boss_lord_catacombs_skill.png,alpha_opaque
bosses/finalboss/boss_lord_catacombs_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_catacombs_skill.png,size_over_2x_budget:64.33>64.0
bosses/finalboss/boss_lord_volcano_attack.png,alpha_opaque
bosses/finalboss/boss_lord_volcano_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_volcano_death.png,missing_png
bosses/finalboss/boss_lord_volcano_idle.png,alpha_opaque
bosses/finalboss/boss_lord_volcano_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_lord_volcano_phasechange.png,missing_png
bosses/finalboss/boss_lord_volcano_skill.png,alpha_opaque
bosses/finalboss/boss_lord_volcano_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_queen_tundra_attack.png,alpha_opaque
bosses/finalboss/boss_queen_tundra_attack.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_queen_tundra_attack.png,size_over_2x_budget:65.72>64.0
bosses/finalboss/boss_queen_tundra_death.png,missing_png
bosses/finalboss/boss_queen_tundra_idle.png,alpha_opaque
bosses/finalboss/boss_queen_tundra_idle.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_queen_tundra_phasechange.png,missing_png
bosses/finalboss/boss_queen_tundra_skill.png,alpha_opaque
bosses/finalboss/boss_queen_tundra_skill.png,bosses_low_transparent_ratio:0.0%<5%
bosses/finalboss/boss_skeletonlord_attack.png,alpha_opaque
bosses/finalboss/boss_skeletonlord_attack.png,bosses_low_transparent_ratio:0.0%<5%
