path,category,action,grade,width,height,target_w,target_h,frame_w,frame_h,target_size_kb,bundle,atlas_group,state,reason
backgrounds/bg_combat_abyss.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_abyss,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_combat_catacombs.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_catacombs,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_combat_forest.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_forest,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_combat_swamp.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_swamp,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_combat_tundra.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_tundra,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_combat_volcano.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_volcano,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_event_abyss.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_abyss,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_event_catacombs.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_catacombs,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_event_forest.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_forest,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_event_swamp.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_swamp,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_event_tundra.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_tundra,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_event_volcano.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_volcano,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_room_healing.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_common,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_room_rest.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_common,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_room_shop.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_common,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_room_treasure.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_common,,different_from_old_backup,candidate_generated_or_processed
backgrounds/bg_room_upgrade.png,backgrounds,compress_review,A,750,500,1000,666,750,500,166,bundle_bg_common,,different_from_old_backup,candidate_generated_or_processed
bosses/finalboss/boss_abyssoverlord_attack.png,bosses,replace,S,256,256,256,256,256,256,32,bundle_boss_abyss,,different_from_old_backup,candidate_generated_or_processed
bosses/finalboss/boss_abyssoverlord_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_abyssoverlord_idle.png,bosses,replace,S,256,256,256,256,256,256,32,bundle_boss_abyss,,different_from_old_backup,candidate_generated_or_processed
