resource,risks,action_taken
area/area_badge_forest.png,CHROMA_RESIDUE(count=4739),pending_review
area/area_badge_swamp.png,TEXT_EDGES_SUSPECT(edge_ratio=12.6%) | CHROMA_RESIDUE(count=1621),pending_review
area/area_badge_tundra.png,TEXT_EDGES_SUSPECT(edge_ratio=17.0%) | CHROMA_RESIDUE(count=6330),pending_review
area/area_bg.jpg,SKULL_SUSPECT(white=10.5% dark=5.8%) | CHROMA_RESIDUE(count=40850),pending_review
character/avatar_archer.png,TEXT_EDGES_SUSPECT(edge_ratio=11.4%) | CHROMA_RESIDUE(count=585),pending_review
character/avatar_assassin.png,TEXT_EDGES_SUSPECT(edge_ratio=10.7%),pending_review
character/avatar_mage.png,TEXT_EDGES_SUSPECT(edge_ratio=12.9%) | CHROMA_RESIDUE(count=1050),pending_review
character/character_bg.jpg,SKULL_SUSPECT(white=9.1% dark=3.6%) | CHROMA_RESIDUE(count=40401),pending_review
character/character_detail_panel.png,SKULL_SUSPECT(white=51.0% dark=4.3%) | HARD_ALPHA_EDGE(partial=33.8%),pending_review
character/character_list_panel.png,CHROMA_RESIDUE(count=129),pending_review
common/btn_active.png,CHROMA_RESIDUE(count=226),pending_review
common/btn_close.png,SKULL_SUSPECT(white=18.1% dark=4.0%) | TEXT_EDGES_SUSPECT(edge_ratio=20.3%) | CHROMA_RESIDUE(count=195) | HARD_ALPHA_EDGE(partial=55.1%),pending_review
common/btn_default.png,CHROMA_RESIDUE(count=2388),pending_review
common/btn_hover.png,CHROMA_RESIDUE(count=2070),pending_review
common/panel_bg.png,CHROMA_RESIDUE(count=183) | HARD_ALPHA_EDGE(partial=19.0%),pending_review
create/btn_create_confirm.png,CHROMA_RESIDUE(count=3469),pending_review
death/death_bg.jpg,SKULL_SUSPECT(white=5.9% dark=2.9%) | CHROMA_RESIDUE(count=64045),pending_review
death/result_panel.png,CHROMA_RESIDUE(count=6765),pending_review
equipment/equip_body_frame.png,SKULL_SUSPECT(white=26.3% dark=5.5%) | CHROMA_RESIDUE(count=21841),pending_review
equipment/equip_slot_chest.png,CHROMA_RESIDUE(count=216),pending_review
equipment/equip_slot_gloves.png,CHROMA_RESIDUE(count=896),pending_review
equipment/equip_slot_helmet.png,TEXT_EDGES_SUSPECT(edge_ratio=9.7%),pending_review
equipment/equip_slot_legs.png,CHROMA_RESIDUE(count=325),pending_review
equipment/equip_slot_necklace.png,TEXT_EDGES_SUSPECT(edge_ratio=9.8%),pending_review
equipment/equip_slot_ring.png,CHROMA_RESIDUE(count=221),pending_review
equipment/equip_slot_shoes.png,CHROMA_RESIDUE(count=244),pending_review
equipment/equip_slot_weapon.png,TEXT_EDGES_SUSPECT(edge_ratio=10.4%),pending_review
equipment/equipment_bg.jpg,SKULL_SUSPECT(white=11.3% dark=9.4%) | CHROMA_RESIDUE(count=24796),pending_review
equipment/inventory_slot.png,SKULL_SUSPECT(white=22.5% dark=25.3%) | CHROMA_RESIDUE(count=51),pending_review
equipment/item_slot.png,CHROMA_RESIDUE(count=380),pending_review
equipment/rarity_common.png,SKULL_SUSPECT(white=55.4% dark=1.6%) | CHROMA_RESIDUE(count=114),pending_review
equipment/rarity_legendary.png,SKULL_SUSPECT(white=43.4% dark=3.1%) | CHROMA_RESIDUE(count=88) | HARD_ALPHA_EDGE(partial=15.9%),pending_review
equipment/rarity_magic.png,SKULL_SUSPECT(white=52.7% dark=1.8%) | CHROMA_RESIDUE(count=944) | HARD_ALPHA_EDGE(partial=16.5%),pending_review
equipment/rarity_rare.png,CHROMA_RESIDUE(count=176),pending_review
event/event_panel.png,SKULL_SUSPECT(white=65.6% dark=1.1%),pending_review
hud/floor_badge.png,SKULL_SUSPECT(white=15.0% dark=1.0%) | CHROMA_RESIDUE(count=360),pending_review
hud/hud_hpbar_bg.png,SKULL_SUSPECT(white=13.2% dark=1.1%) | CHROMA_RESIDUE(count=2012),pending_review
hud/hud_rollbtn.png,CHROMA_RESIDUE(count=4728),pending_review
hud/hud_skillslot.png,CHROMA_RESIDUE(count=642),pending_review
hud/joystick_base.png,SKULL_SUSPECT(white=7.9% dark=4.3%) | CHROMA_RESIDUE(count=3910),pending_review
hud/joystick_dot.png,CHROMA_RESIDUE(count=1395),pending_review
hud/kill_badge.png,SKULL_SUSPECT(white=55.4% dark=1.7%),pending_review
hud/pause_btn.png,SKULL_SUSPECT(white=33.2% dark=2.7%) | CHROMA_RESIDUE(count=680),pending_review
log/btn_close.png,SKULL_SUSPECT(white=14.5% dark=8.8%),pending_review
log/log_bg.jpg,SKULL_SUSPECT(white=9.3% dark=17.2%),pending_review
log/log_book_panel.png,SKULL_SUSPECT(white=56.1% dark=2.3%),pending_review
main/main_titledeco.png,CHROMA_RESIDUE(count=3654),pending_review
map/icon_room_boss.png,TEXT_EDGES_SUSPECT(edge_ratio=12.1%) | CHROMA_RESIDUE(count=406),pending_review
map/icon_room_combat.png,SKULL_SUSPECT(white=26.5% dark=3.5%) | TEXT_EDGES_SUSPECT(edge_ratio=14.5%) | CHROMA_RESIDUE(count=614),pending_review
map/icon_room_event.png,TEXT_EDGES_SUSPECT(edge_ratio=8.5%) | CHROMA_RESIDUE(count=508),pending_review
map/icon_room_healing.png,CHROMA_RESIDUE(count=642),pending_review
map/icon_room_shop.png,CHROMA_RESIDUE(count=330),pending_review
map/icon_room_treasure.png,TEXT_EDGES_SUSPECT(edge_ratio=9.6%) | CHROMA_RESIDUE(count=361),pending_review
map/icon_room_upgrade.png,CHROMA_RESIDUE(count=576),pending_review
map/map_line.png,HARD_ALPHA_EDGE(partial=100.0%),pending_review
map/map_node_unknown.png,CHROMA_RESIDUE(count=124),pending_review
map/map_panel.png,SKULL_SUSPECT(white=63.2% dark=1.5%) | HARD_ALPHA_EDGE(partial=25.6%),pending_review
